"task","gain","base_cost","cost","base_points","points","bytes","path"
"task368","0.35444963","5130","3599","16.457139062","16.811588692","2116","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task368.onnx"
"task280","0.249303379","6032","4701","16.29516609","16.544469469","13466","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task280.onnx"
"task170","0.175632569","2533","2125","17.16284035","17.338472919","6311","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task170.onnx"
"task161","0.164370091","2131","1808","17.335653368","17.500023459","2614","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task161.onnx"
"task008","0.152534876","3195","2743","16.930657633","17.083192509","7009","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task008.onnx"
"task277","0.055226228","3741","3540","16.772891766","16.828117994","1721","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task277.onnx"
"task328","0.05057127","6631","6304","16.200489099","16.251060368","3035","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task328.onnx"
"task245","0.043971316","2743","2625","17.083192509","17.127163825","1848","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task245.onnx"
"task270","0.040121959","2975","2858","17.002000682","17.042122642","3931","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task270.onnx"
"task131","0.025988724","3976","3874","16.711968432","16.737957156","5512","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task131.onnx"
"task247","0.017204725","469","461","18.849397232","18.866601957","1644","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task247.onnx"
"task076","0.00474506","12886","12825","15.53610327","15.54084833","9771","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task076.onnx"
"task090","0.001308901","3058","3054","16.974483614","16.975792514","14070","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task090.onnx"
"task208","0.000955338","4189","4185","16.659782679","16.660738017","4104","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task208.onnx"
