task,priority_band,baseline_cost,model_status,dedicated_attempt_count,script_count,report_count,best_attempt_cost,best_attempt_method,accepted,task_dir
task158,P0_lt16,28483,accepted,2,3,8,28023,task158_resize_stamp_builder,True,single_task/task158
task286,P0_lt16,26909,attempted_no_gain,1,4,10,26909,task286_baseline_check,False,single_task/task286
task054,P0_lt16,25394,attempted_no_gain,0,1,2,,,False,single_task/task054
task364,P0_lt16,20802,accepted,2,2,1,14640,task364_compact_pad_axes,True,single_task/task364
task349,P0_lt16,14892,accepted,5,1,4,14887,v93_rebase_task349,True,single_task/task349
task077,P0_lt16,8510,accepted,2,1,1,7655,task077_compact_pad_axes,True,single_task/task077
task096,P1_16_16p7,7678,attempted_no_gain,2,1,1,,,False,single_task/task096
task009,P1_16_16p7,6699,accepted,3,2,1,6595,task009_outside_sentinel_v2,True,single_task/task009
task383,P1_16_16p7,5912,accepted,1,1,1,5800,task383_conv_crop_collapse,True,single_task/task383
task382,P1_16_16p7,5702,accepted,1,1,1,5640,task382_compact_pad_axes,True,single_task/task382
task278,P1_16_16p7,5010,attempted_no_gain,1,1,1,,,False,single_task/task278
task165,P1_16_16p7,4814,accepted,1,1,1,4528,task165_compact_pad_axes,True,single_task/task165
task378,P1_16_16p7,4426,accepted,1,1,1,3087,task378_compact_pad_axes,True,single_task/task378
task132,P1_16_16p7,4089,unattempted,0,0,0,,,False,
task069,P2_16p7_17p5,3905,accepted,1,1,0,2946,task069_compact_pad_axes,True,single_task/task069
task284,P2_16p7_17p5,3608,unattempted,0,0,0,,,False,
task201,P2_16p7_17p5,3349,accepted,1,1,0,3043,task201_compact_pad_axes,True,single_task/task201
task335,P2_16p7_17p5,3133,unattempted,0,0,0,,,False,
task091,P2_16p7_17p5,3013,unattempted,0,0,0,,,False,
task224,P2_16p7_17p5,2829,accepted,1,1,0,1876,task224_compact_pad_axes,True,single_task/task224
task094,P2_16p7_17p5,2703,accepted,1,1,1,2671,task094_compact_pad_axes,True,single_task/task094
task190,P2_16p7_17p5,2525,accepted,1,1,1,2425,task190_compact_pad_axes,True,single_task/task190
task046,P2_16p7_17p5,2279,unattempted,0,0,0,,,False,
task388,P2_16p7_17p5,2190,accepted,1,1,0,1822,task388_compact_pad_axes,True,single_task/task388
task381,P2_16p7_17p5,2064,accepted,1,1,1,1750,task381_compact_pad_axes,True,single_task/task381
task392,P2_16p7_17p5,1941,accepted,1,1,1,1703,task392_compact_pad_axes,True,single_task/task392
task237,P2_16p7_17p5,1836,unattempted,0,0,0,,,False,
task302,P3_ge17p5,1774,unattempted,0,0,0,,,False,
task061,P3_ge17p5,1668,unattempted,0,0,0,,,False,
task159,P3_ge17p5,1568,unattempted,0,0,0,,,False,
task075,P3_ge17p5,1487,unattempted,0,0,0,,,False,
task304,P3_ge17p5,1441,unattempted,0,0,0,,,False,
task141,P3_ge17p5,1383,unattempted,0,0,0,,,False,
task356,P3_ge17p5,1319,attempted_no_gain,0,1,0,,,False,single_task/task356
task351,P3_ge17p5,1229,unattempted,0,0,0,,,False,
task301,P3_ge17p5,1141,unattempted,0,0,0,,,False,
task225,P3_ge17p5,1031,unattempted,0,0,0,,,False,
task194,P3_ge17p5,949,unattempted,0,0,0,,,False,
task193,P3_ge17p5,910,attempted_no_gain,1,1,3,82912,exact_conv_factor_memory_probe,False,single_task/task193
task015,P3_ge17p5,900,attempted_no_gain,1,0,0,,,False,single_task/task015
task230,P3_ge17p5,900,unattempted,0,0,0,,,False,
task221,P3_ge17p5,805,unattempted,0,0,0,,,False,
task178,P3_ge17p5,762,unattempted,0,0,0,,,False,
task372,P3_ge17p5,710,attempted_no_gain,1,2,3,7135,cropped_group_conv_memory_probe,False,single_task/task372
task065,P3_ge17p5,638,unattempted,0,0,0,,,False,
task332,P3_ge17p5,561,attempted_no_gain,1,1,3,6150,dynamic_parity_direct_memory_probe,False,single_task/task332
task362,P3_ge17p5,521,unattempted,0,0,0,,,False,
task081,P3_ge17p5,464,unattempted,0,0,0,,,False,
task072,P3_ge17p5,421,unattempted,0,0,0,,,False,
task203,P3_ge17p5,355,unattempted,0,0,0,,,False,
task121,P3_ge17p5,326,unattempted,0,0,0,,,False,
task108,P3_ge17p5,300,unattempted,0,0,0,,,False,
task146,P3_ge17p5,267,unattempted,0,0,0,,,False,
task315,P3_ge17p5,230,unattempted,0,0,0,,,False,
task180,P3_ge17p5,210,unattempted,0,0,0,,,False,
task052,P3_ge17p5,194,unattempted,0,0,0,,,False,
task252,P3_ge17p5,180,unattempted,0,0,0,,,False,single_task/task252
task391,P3_ge17p5,159,attempted_no_gain,1,0,0,,,False,single_task/task391
task347,P3_ge17p5,143,unattempted,0,0,0,,,False,
task298,P3_ge17p5,135,unattempted,0,0,0,,,False,
task144,P3_ge17p5,104,unattempted,0,0,0,,,False,
task142,P3_ge17p5,90,unattempted,0,0,0,,,False,
task373,P3_ge17p5,60,unattempted,0,0,0,,,False,
task113,P3_ge17p5,30,unattempted,0,0,0,,,False,
task311,P3_ge17p5,30,unattempted,0,0,0,,,False,
task276,P3_ge17p5,10,unattempted,0,0,0,,,False,
task307,P3_ge17p5,5,unattempted,0,0,0,,,False,
