candidate,base_cost,candidate_cost,delta_cost,status,verified_all,nodes,initializers
n010_Div_i0,31938,,,score_error,False,221,47
n011_Mul_i0,31938,,,score_error,False,221,48
n012_Add_i0,31938,,,score_error,False,219,47
n012_Add_i1,31938,,,score_error,False,221,48
n018_Where_i2,31938,,,score_error,False,221,48
n025_Where_i1,31938,,,score_error,False,218,48
n026_Min_i0,31938,,,score_error,False,221,48
n039_Add_i0,31938,,,score_error,False,221,48
n040_Add_i0,31938,,,score_error,False,221,48
n047_Sub_i0,31938,,,score_error,False,221,47
n061_And_i0,31938,,,score_error,False,219,48
n062_Div_i0,31938,,,score_error,False,221,48
n063_Mod_i0,31938,,,score_error,False,221,48
n067_Not_i0,31938,,,score_error,False,221,48
n068_And_i0,31938,,,score_error,False,221,48
n069_Where_i1,31938,,,score_error,False,220,48
n073_Where_i1,31938,,,score_error,False,220,48
n076_Div_i0,31938,,,score_error,False,221,48
n077_Mod_i0,31938,,,score_error,False,221,48
n078_Sub_i0,31938,,,score_error,False,221,48
n081_And_i0,31938,,,score_error,False,220,48
n081_And_i1,31938,,,score_error,False,220,48
n082_Sub_i0,31938,,,score_error,False,220,48
n085_And_i0,31938,,,score_error,False,220,48
n085_And_i1,31938,,,score_error,False,220,48
n086_And_i0,31938,,,score_error,False,216,48
n086_And_i1,31938,,,score_error,False,217,48
n087_Not_i0,31938,,,score_error,False,221,48
n088_And_i0,31938,,,score_error,False,210,48
n088_And_i1,31938,,,score_error,False,221,48
n089_Mul_i0,31938,,,score_error,False,221,48
n090_Add_i0,31938,,,score_error,False,220,48
n090_Add_i1,31938,,,score_error,False,221,48
n095_Where_i1,31938,,,score_error,False,221,48
n099_Where_i1,31938,,,score_error,False,220,48
n102_Min_i0,31938,,,score_error,False,221,48
n103_Div_i0,31938,,,score_error,False,221,48
n104_Mod_i0,31938,,,score_error,False,221,48
n105_Sub_i0,31938,,,score_error,False,221,48
n108_And_i0,31938,,,score_error,False,220,48
n108_And_i1,31938,,,score_error,False,220,48
n109_Sub_i0,31938,,,score_error,False,220,48
n112_And_i0,31938,,,score_error,False,220,48
n112_And_i1,31938,,,score_error,False,220,48
n113_And_i0,31938,,,score_error,False,216,48
n113_And_i1,31938,,,score_error,False,217,48
n114_Not_i0,31938,,,score_error,False,221,48
n115_And_i0,31938,,,score_error,False,210,48
n115_And_i1,31938,,,score_error,False,221,48
n116_Mul_i0,31938,,,score_error,False,221,48
n117_Add_i0,31938,,,score_error,False,220,48
n117_Add_i1,31938,,,score_error,False,221,48
n122_And_i0,31938,,,score_error,False,221,48
n123_Where_i1,31938,,,score_error,False,220,48
n128_Where_i1,31938,,,score_error,False,220,48
n131_Min_i0,31938,,,score_error,False,221,48
n132_Div_i0,31938,,,score_error,False,221,48
n133_Mod_i0,31938,,,score_error,False,221,48
n134_Sub_i0,31938,,,score_error,False,221,48
n137_And_i0,31938,,,score_error,False,220,48
n137_And_i1,31938,,,score_error,False,220,48
n138_Sub_i0,31938,,,score_error,False,220,48
n141_And_i0,31938,,,score_error,False,220,48
n141_And_i1,31938,,,score_error,False,220,48
n142_And_i0,31938,,,score_error,False,216,48
n142_And_i1,31938,,,score_error,False,217,48
n143_Not_i0,31938,,,score_error,False,221,48
n144_And_i0,31938,,,score_error,False,210,48
n144_And_i1,31938,,,score_error,False,221,48
n145_Mul_i0,31938,,,score_error,False,221,48
n146_Add_i0,31938,,,score_error,False,220,48
n146_Add_i1,31938,,,score_error,False,221,48
n150_Where_i1,31938,,,score_error,False,220,48
n152_Where_i1,31938,,,score_error,False,221,48
n157_Where_i1,31938,,,score_error,False,220,48
n160_Min_i0,31938,,,score_error,False,221,48
n161_Div_i0,31938,,,score_error,False,221,48
n162_Mod_i0,31938,,,score_error,False,221,48
n163_Sub_i0,31938,,,score_error,False,221,48
n165_Sub_i0,31938,,,score_error,False,220,48
n168_And_i0,31938,,,score_error,False,220,48
n168_And_i1,31938,,,score_error,False,220,48
n169_And_i0,31938,,,score_error,False,216,48
n169_And_i1,31938,,,score_error,False,219,48
n170_Not_i0,31938,,,score_error,False,221,48
n171_And_i0,31938,,,score_error,False,212,48
n171_And_i1,31938,,,score_error,False,221,48
n172_Mul_i0,31938,,,score_error,False,221,48
n173_Add_i0,31938,,,score_error,False,220,48
n173_Add_i1,31938,,,score_error,False,221,48
n177_Where_i1,31938,,,score_error,False,220,48
n179_Where_i1,31938,,,score_error,False,211,48
n184_Where_i1,31938,,,score_error,False,220,48
n187_Min_i0,31938,,,score_error,False,221,48
n188_Div_i0,31938,,,score_error,False,221,48
n189_Mul_i0,31938,,,score_error,False,221,48
n190_Add_i0,31938,,,score_error,False,219,48
n190_Add_i1,31938,,,score_error,False,221,48
n194_Where_i1,31938,,,score_error,False,220,48
n215_ScatterElements_i0,31938,,,score_error,False,35,16
n219_Max_i0,31938,,,score_error,False,217,46
